,wind_power,grid_power,battery_power,storage_soc
2024-01-01 00:00:00,7.79802849180674,10.0,2.2019715081932603,50.0
2024-01-01 00:15:00,9.063154779765597,10.0,0.9368452202344031,48.165023743172284
2024-01-01 00:30:00,7.4401370699895075,10.0,2.5598629300104925,47.38431939297695
2024-01-01 00:45:00,8.595388382941799,10.0,1.404611617058201,45.25110028463487
2024-01-01 01:00:00,7.731774407850988,10.0,2.2682255921490118,44.08059060375304
2024-01-01 01:15:00,10.628235567117285,10.628235567117285,0.0,42.19040261029553
2024-01-01 01:30:00,10.43772149873649,10.43772149873649,0.0,42.19040261029553
2024-01-01 01:45:00,9.500621537949428,9.500621537949428,0.0,42.19040261029553
2024-01-01 02:00:00,11.786988827690568,11.786988827690568,0.0,42.19040261029553
2024-01-01 02:15:00,12.952774042293498,12.952774042293498,0.0,42.19040261029553
2024-01-01 02:30:00,13.458819132333808,13.458819132333808,0.0,42.19040261029553
2024-01-01 02:45:00,12.085724336138567,12.085724336138567,0.0,42.19040261029553
2024-01-01 03:00:00,15.76661602201539,15.76661602201539,0.0,42.19040261029553
2024-01-01 03:15:00,16.27909738677012,16.27909738677012,0.0,42.19040261029553
2024-01-01 03:30:00,15.35447096846316,15.35447096846316,0.0,42.19040261029553
2024-01-01 03:45:00,17.609696058212133,17.609696058212133,0.0,42.19040261029553
2024-01-01 04:00:00,19.043421972977868,19.043421972977868,0.0,42.19040261029553
2024-01-01 04:15:00,24.694835219914243,20.0,-4.694835219914243,42.19040261029553
2024-01-01 04:30:00,24.192591869503563,20.0,-4.192591869503563,46.1027652935574
2024-01-01 04:45:00,25.078978315426664,20.0,-5.078978315426664,49.59659185147703
2024-01-01 05:00:00,28.28272067977245,20.0,-8.0,53.82907378099925
2024-01-01 05:15:00,25.31227869937538,20.0,-5.31227869937538,60.495740447665916
2024-01-01 05:30:00,23.95330051861747,20.0,-3.9533005186174712,64.92263936381207
2024-01-01 05:45:00,20.127229697460837,20.0,-0.12722969746083734,68.21705646265995
2024-01-01 06:00:00,23.203414944644187,20.0,-3.2034149446441873,68.32308121054399
2024-01-01 06:15:00,23.454981093522747,20.0,-3.454981093522747,70.99259366441414
2024-01-01 06:30:00,20.761426976094715,20.0,-0.7614269760947145,73.8717445756831
2024-01-01 06:45:00,21.666709482275056,20.0,-1.6667094822750563,74.50626705576202
2024-01-01 07:00:00,21.048813098321034,20.0,-1.048813098321034,75.89519162432457
2024-01-01 07:15:00,23.12399195717906,20.0,-3.1239919571790615,76.7692025395921
2024-01-01 07:30:00,19.980495896861463,19.980495896861463,0.0,79.37252917057465
2024-01-01 07:45:00,22.21755414325435,20.0,-2.2175541432543504,79.37252917057465
2024-01-01 08:00:00,23.371413976426197,20.0,-3.3714139764261972,81.22049095661994
2024-01-01 08:15:00,23.47342745093499,20.0,-3.4734274509349916,84.03000260364178
2024-01-01 08:30:00,24.901600976771324,20.0,-4.901600976771324,86.92452547942094
2024-01-01 08:45:00,21.882242508697825,20.0,-1.882242508697825,90.0
2024-01-01 09:00:00,25.022516155931235,20.0,-5.0225161559312355,90.0
2024-01-01 09:15:00,21.129517880254664,20.0,-1.1295178802546637,90.0
2024-01-01 09:30:00,17.656991168382845,17.656991168382845,0.0,90.0
2024-01-01 09:45:00,15.933149341064547,15.933149341064547,0.0,90.0
2024-01-01 10:00:00,14.355493825418796,14.355493825418796,0.0,90.0
2024-01-01 10:15:00,13.609294262561187,13.609294262561187,0.0,90.0
2024-01-01 10:30:00,8.669905015387837,10.0,1.3300949846121632,90.0
2024-01-01 10:45:00,8.568544943552617,10.0,1.4314550564473834,88.8915875128232
2024-01-01 11:00:00,8.21928612574222,10.0,1.7807138742577795,87.69870829911704
2024-01-01 11:15:00,8.151032429620061,10.0,1.8489675703799389,86.21478007056889
2024-01-01 11:30:00,7.1490587008190545,10.0,2.8509412991809455,84.67397376191894
